Name,ProfilePicture,TournamentName,TournamentLink,Placement,Wins,Losses,Draws,DeckLink,LeaguePlayer,Points
Marek Voráček,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,1,8,1,1,https://www.mtgtop8.com/event?e=79136&d=801014&f=EDH,FALSE,100
Miroslav Kalina,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,2,8,1,1,https://www.mtgtop8.com/event?e=79136&d=801015&f=EDH,FALSE,92
Jan Franěk,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,3,6,1,2,https://www.mtgtop8.com/event?e=79136&d=801016&f=EDH,FALSE,88
Jakub Vojta,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,4,6,2,1,https://www.mtgtop8.com/event?e=79136&d=801017&f=EDH,FALSE,85
Michal Hrubý,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,5,6,1,1,https://www.mtgtop8.com/event?e=79136&d=801018&f=EDH,FALSE,82
Adam Divis,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,7,5,2,1,https://www.mtgtop8.com/event?e=79136&d=801020&f=EDH,FALSE,80
Josef Böhm,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,8,5,3,0,https://www.mtgtop8.com/event?e=79136&d=801021&f=EDH,FALSE,78
Lubor Šída,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,9,5,2,0,,FALSE,76
Dung Nguyen Tien,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,10,5,2,0,,FALSE,74
Milos Palek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,11,5,2,0,,FALSE,72
Zbyněk Barták,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,12,5,2,0,,FALSE,70
Ondřej Smetana,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,13,5,2,0,,FALSE,69
Adam Petrik,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,14,5,2,0,,FALSE,68
Dominik Mašík,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,15,5,2,0,,FALSE,67
Jakub Bárta,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,16,4,2,1,,FALSE,66
Oleh Lototskyi,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,17,4,2,1,,FALSE,65
Roman Legiň,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,18,4,3,0,,FALSE,64
Jan Bizon,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,19,4,3,0,,FALSE,63
Matouš Pavlovský-Fiala,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,20,4,3,0,,FALSE,62
Alan Stehlik,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,21,4,3,0,,FALSE,61
Kryštof Nuc,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,22,4,3,0,,FALSE,60
Matěj Liederhaus,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,23,4,3,0,,FALSE,59
Dennis Lagron,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,24,4,3,0,,FALSE,58
Max Bobrovský,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,25,4,3,0,,FALSE,57
Jakub Lerl,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,26,4,3,0,,FALSE,56
Marek Majer,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,27,4,3,0,,FALSE,55
Jiří Obraz,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,28,4,2,0,,FALSE,54
Jan Verner,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,29,4,3,0,,FALSE,53
Dung Nguyen,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,30,4,3,0,,FALSE,52
Nolaac Vivnil,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,31,4,3,0,,FALSE,51
Vojtěch Kotek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,32,4,3,0,,FALSE,40
Ladislav Majer,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,33,4,3,0,,FALSE,40
Lukáš Holer,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,34,4,3,0,,FALSE,40
Ervin Kuč,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,35,4,3,0,,FALSE,40
Sam Boscq,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,36,3,3,1,,FALSE,40
Matouš Jetmar,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,37,3,4,0,,FALSE,40
František Nuc,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,38,3,4,0,,FALSE,40
Jakub Petřík,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,39,3,4,0,,FALSE,40
Tomáš Fridrich,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,40,3,4,0,,FALSE,40
Martin Kasaly,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,41,3,4,0,,FALSE,40
David Ottomansky,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,42,3,4,0,,FALSE,30
Drahomír Havlíček,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,43,3,4,0,,FALSE,30
Dan Petrok,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,44,3,4,0,,FALSE,30
David SmrÄŤek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,45,3,4,0,,FALSE,30
Václav Hrdlička,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,46,3,4,0,,FALSE,30
Martin Bořek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,47,3,4,0,,FALSE,30
Jířa Joska,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,48,3,4,0,,FALSE,30
Daniel Hanzlík,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,49,3,4,0,,FALSE,30
Matěj Lank,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,50,3,4,0,,FALSE,30
Vojtěch Lavička,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,51,3,4,0,,FALSE,30
Lukas Pesek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,52,3,4,0,,FALSE,20
David Bohuslav,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,53,3,4,0,,FALSE,20
Florian Aime,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,54,3,4,0,,FALSE,20
Václav Peltan,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,55,3,4,0,,FALSE,20
Morozko,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,56,3,4,0,,FALSE,20
Filip Mraz,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,57,2,4,1,,FALSE,20
Martin Okruhlíca,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,58,2,3,0,,FALSE,20
ondrej barta,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,59,2,5,0,,FALSE,20
Tomáš Hanousek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,60,2,2,0,,FALSE,20
Ondřej Jarkovský,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,61,2,5,0,,FALSE,20
Dominik Hakl,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,62,2,5,0,,FALSE,10
Tomas Vojik,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,63,2,5,0,,FALSE,10
Jakub Nemec,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,64,2,5,0,,FALSE,10
Ladislav Sedlacek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,65,2,5,0,,FALSE,10
Jan Tic,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,66,2,5,0,,FALSE,10
Vít Albert,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,67,2,5,0,,FALSE,10
Karel Klinkáček,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,68,2,5,0,,FALSE,10
Erik Leclercq,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,69,2,5,0,,FALSE,10
Vasik Hrdlička jr,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,70,1,6,0,,FALSE,10
Jan Vimmer,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,71,1,6,0,,FALSE,10
Jan Kozlík,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,72,1,6,0,,FALSE,10
Vratislav Drábek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,73,0,2,0,,FALSE,10
Pavel Ovčáčík,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,74,0,7,0,,FALSE,10


